Neal Ascherson,Neal,Ascherson,Neal Ascherson is a journalist and writer. He was for many years a foreign correspondent for the (London) Observer.,,,501006
Lisa Lynch,Lisa,Lynch,Lisa Lynch is an assistant professor of English and media studies at the Catholic University of America. She teaches courses on the rhetoric of disaster in the mass media.,,,1
Paul Rogers,Paul,Rogers,Paul Rogers is professor of peace studies at Bradford University and is openDemocracy’s international-security editor.,,,500131
openDemocracy,,openDemocracy,openDemocracy brings you this special feature.,,1,500481
Tom Griffin,Tom,Griffin,Tom Griffin is the managing editor of openDemocracy's OurKingdom blog.,,,509437
openUSA,,openUSA,,,1,511280
Anthony Barnett,Anthony,Barnett,Anthony Barnett is the founder of openDemocracy.net and co-director of Convention of Modern Liberty,,,500164
Dominic Hilton,Dominic,Hilton,"Dominic Hilton was a commissioning editor, columnist and diarist for openDemocracy from 2001-05.",,,500349
Tony Curzon Price,Tony Curzon,Price,Tony Curzon Price is Editor-in-Chief of openDemocracy and founder of the game theory consultancy company ElseCo and Arithmatica.,,,500307
Kanishk Tharoor,Kanishk,Tharoor,Kanishk Tharoor is associate editor at openDemocracy. He graduated from Yale magna cum laude with BAs in History and  Literature. ,,,501810
Caspar Henderson,Caspar,Henderson,Caspar Henderson was openDemocracy's Globalisation Editor from 2002 to 2005. He is an award-winning writer and journalist on environmental affairs.,,,500335
OurKingdom,,OurKingdom,,,1,511385
Fred Halliday,Fred,Halliday,"Fred Halliday is ICREA research professor at IBEI, the Barcelona Institute for International Studies.",,,500880
terrorism.openDemocracy,,terrorism.openDemocracy,,,1,502128
Todd Gitlin,Todd,Gitlin,"Todd Gitlin is <a href=""http://www.journalism.columbia.edu/cs/ContentServer/jrn/1165270051276/JRN_Profile_C/1165270081547/JRNFacultyDetail.htm"">professor</a> of journalism and sociology and chair of the PhD programme in  communications at Columbia University.",,,500119
Guy Aitchison,Guy,Aitchison,"Guy Aitchison is a contributing editor at openDemocracy and writes for its UK blog, OurKingdom. He is deputy director of the Convention on Modern Liberty.",,,509354
Sidney Blumenthal,Sidney,Blumenthal,Sidney Blumenthal is an author and journalist. He is former assistant and senior adviser to President Bill Clinton.,,,501397
Patrice de Beer,Patrice,de Beer,Patrice de Beer is former London and Washington correspondent for Le Monde.,,,500478
David Steven,David,Steven,"David Steven is a writer and policy consultant whose work includes a pamphlet on the future of unionism in Northern Ireland (published by <a href=http://www.sluggerotoole.com target=_blank>Slugger O&#146;Toole</a>) and reports for <a href=http://www.dailysummit.net target=_blank>Daily Summit</a>, at the 2002 World Summit on Sustainable Development in Johannesburg.",,,500843
Rosemary Bechler,Rosemary,Bechler,Rosemary Bechler is a Contributing Editor for openDemocracy.,,,500209
Godfrey Hodgson,Godfrey,Hodgson,"Godfrey Hodgson was director of the Reuters' Foundation Programme at Oxford University, and before that he was foreign editor of the Independent. ",,,500190
Jane Gabriel,Jane,Gabriel,Jane Gabriel is Programme Director of openDemocracy's 50.50 editorial initiative. She has directed numerous documentaries for Channel 4 and the BBC. ,,,501857
Dave Belden,Dave,Belden,"Jane Gabriel is Programme Director of openDemocracy's 50.50 editorial initiative. Before joining open democracy, she has directed numerous documentaries for Channel 4 and the BBC. ",,,500354
Jessica Reed,Jessica,Reed,Jessica Reed was participation editor for openDemocracy between November 2006 and February 2008.,,,501736
Jim Gabour,Jim,Gabour,"  Jim Gabour is a film producer, writer and director, whose work focuses primarily on music and the diversity of cultures.",,,501585
Becky Hogge,Becky,Hogge,Becky Hogge is executive direction to Open Rights Group. She was formerly the openDemocracy's technology editor. ,,,501128
Li Datong,Li,Datong,"Li Datong  is a Chinese journalist and former editor of Freezing Point, a weekly supplement of the China Youth Daily  newspaper.  ",,,501795
KA Dilday,KA,Dilday,KA Dilday is a France-based fellow of the <a href=http://www.icwa.org/ target=_blank>Institute of Current World Affairs</a>. She has written and edited for many American publications. ,,,500655
Roger Scruton,Roger,Scruton,"Roger Scruton is a philosopher, writer, political activist and businessman.  He is visiting professor in the department of philosophy at Buckingham University.",,,500027
David Hayes,David,Hayes,"David Hayes is deputy editor of openDemocracy. He has written textbooks on human rights and terrorism, and was a contributor to Town and Country.",,,500165
Ehsan Masood,Ehsan,Masood,"Ehsan Masood is a writer and journalist based in London. He writes for New Scientist and Prospect magazines and is a consultant to the <a href=""http://www.scidev.net/"" target=""_blank"">Science and Development Network</a>.",,,501351
Stuart Weir,Stuart,Weir,"Stuart Weir is director of <a href=http://www.democraticaudit.com/about/index.php target=_blank>Democratic Audit</a> at the Human Rights Centre, University of Essex, and a consultant to the Joseph Rowntree Reform Trust on the State of the Nation polls.",,,500984
Hannah Cooper,Hannah,Cooper,Hannah Cooper is at Exeter University studying for a BA in History with European Studies. Hannah is currently an editorial intern at   terrorism.openDemocracy.,,,516327
Caroline Moorehead,Caroline,Moorehead,Caroline Moorehead is a biographer and journalist. She wrote a fortnightly openDemocracy column telling stories of refugees and asylum-seekers between May 2002 and December 2003.,,,500044
Patricia Daniel,Patricia,Daniel,"Patricia Daniel is <a href=""http://asp.wlv.ac.uk/Level6.asp?UserType=7&amp;Level6=2607"" target=""_blank"">senior lecturer</a> in social development at the Centre for International Development and Training, University of Wolverhampton, England.",,,501679
